ORSPL,PLANT_NAME,rggi,Low_Income,PRIME_MOVER,Year,fuel
943,Freeburg,0,0,IC,1995,Oil
946,Highland,0,0,IC,1995,Oil
56114,IMEA Highland,0,0,IC,1995,
948,McLeansboro,0,1,IC,1995,Oil
949,Marshall (IL),0,1,IC,1995,
955,Peru (IL),0,0,GT,1995,Oil
955,Peru (IL),0,0,IC,1995,Oil
955,Peru (IL),0,0,ST,1995,
957,Princeton (IL),0,0,IC,1995,Natural Gas
958,Rantoul,0,1,IC,1995,Oil
959,Red Bud,0,0,IC,1995,Oil
960,North Ninth Street,0,1,IC,1995,Natural Gas
961,South Main Street,0,1,IC,1995,Natural Gas
961,South Main Street,0,1,ST,1995,Natural Gas
963,Dallman,0,0,ST,1995,Coal
964,Lakeside,0,0,IC,1995,
964,Lakeside,0,0,ST,1995,Coal
965,Reynolds,0,1,GT,1995,Oil
969,Sullivan (IL),0,0,IC,1995,Natural Gas
971,Waterloo,0,0,GT,1995,
971,Waterloo,0,0,IC,1995,Natural Gas
972,Winnetka,0,0,IC,1995,Oil
972,Winnetka,0,0,ST,1995,Natural Gas
976,Marion,0,0,GT,1995,
976,Marion,0,0,ST,1995,Coal
983,Clifty Creek,0,1,ST,1995,Coal
994,AES Petersburg,0,0,IC,1995,Oil
994,AES Petersburg,0,0,ST,1995,Coal
1043,Frank E Ratts,0,0,ST,1995,Coal
995,Bailly,0,0,GT,1995,Natural Gas
995,Bailly,0,0,ST,1995,Coal
10245,ArcelorMittal Burns Harbor,0,0,ST,1995,
996,Dean H Mitchell,0,1,GT,1995,Natural Gas
996,Dean H Mitchell,0,1,ST,1995,Coal
997,Michigan City,0,1,ST,1995,Coal
1001,Cayuga,0,0,GT,1995,Natural Gas
1001,Cayuga,0,0,IC,1995,Oil
1001,Cayuga,0,0,ST,1995,Coal
55111,Vermillion Energy Facility,0,0,GT,1995,
1002,Connersville,0,0,GT,1995,Oil
1004,Edwardsport,0,0,CC,1995,
1004,Edwardsport,0,0,ST,1995,Coal
1006,Miami Wabash,0,0,GT,1995,
1007,Noblesville,0,0,CC,1995,
1007,Noblesville,0,0,ST,1995,Coal
1008,R Gallagher,0,0,ST,1995,Coal
1010,Wabash River,0,0,CC,1995,
1010,Wabash River,0,0,IC,1995,Oil
1010,Wabash River,0,0,ST,1995,Coal
57842,Wabash Valley Power IGCC,0,0,CC,1995,
1016,Butler-Warner Generation Plant,0,0,CC,1995,Natural Gas
1016,Butler-Warner Generation Plant,0,0,GT,1995,Natural Gas
1024,Crawfordsville Power Plant,0,0,IC,1995,
1024,Crawfordsville Power Plant,0,0,ST,1995,Coal
1032,Logansport,0,1,GT,1995,Natural Gas
1032,Logansport,0,1,ST,1995,Coal
1032,Logansport,0,1,ST,1995,Coal
1037,Peru (IN),0,1,IC,1995,
1037,Peru (IN),0,1,ST,1995,Coal
1038,Rensselaer City Light Plant,0,0,IC,1995,Oil
1040,Whitewater Valley,0,1,ST,1995,Coal
1046,Dubuque,0,1,IC,1995,
1046,Dubuque,0,1,ST,1995,Coal
1046,Dubuque,0,1,ST,1995,Coal
1047,Lansing,0,0,IC,1995,Oil
1047,Lansing,0,0,ST,1995,Coal
1047,Lansing,0,0,ST,1995,Coal
1048,Milton L Kapp,0,0,ST,1995,Coal
1048,Milton L Kapp,0,0,ST,1995,Coal
1058,Sixth Street,0,1,ST,1995,Coal
1058,Sixth Street,0,1,ST,1995,Coal
1068,Marshalltown,0,1,GT,1995,Oil
1077,Sutherland,0,1,ST,1995,Coal
1079,Coralville GT,0,1,GT,1995,Natural Gas
1081,Riverside,0,0,ST,1995,Coal
1081,Riverside,0,0,ST,1995,Coal
1082,Walter Scott Jr Energy Center,0,0,ST,1995,Coal
1091,George Neal North,0,0,ST,1995,Coal
7343,George Neal South,0,0,ST,1995,
1097,Merle Parr,0,0,GT,1995,Natural Gas
1104,Burlington (IA),0,0,GT,1995,
1104,Burlington (IA),0,0,ST,1995,Coal
1105,Centerville,0,1,GT,1995,Oil
1105,Centerville,0,1,GT,1995,Oil
1105,Centerville,0,1,IC,1995,
1120,Algona,0,1,IC,1995,Oil
1121,Alta Municipal Utilities,0,0,IC,1995,Oil
1122,Ames Electric Services Power Plant,0,0,ST,1995,Coal
1123,Anita,0,0,IC,1995,
1124,Atlantic,0,0,GT,1995,
1124,Atlantic,0,0,IC,1995,
1125,Bancroft,0,1,IC,1995,
1126,Bellevue,0,0,IC,1995,Oil
1127,Bloomfield,0,0,IC,1995,Oil
1128,Brooklyn,0,0,IC,1995,Oil
7922,Brooklyn City North Plant,0,0,IC,1995,
1129,Cascade,0,0,IC,1995,Oil
1131,Streeter Station,0,0,ST,1995,Natural Gas
1131,Streeter Station,0,0,ST,1995,Natural Gas
1132,Coggon,0,0,IC,1995,
1134,Corning,0,0,IC,1995,
1135,Dayton (IA),0,0,IC,1995,
1137,Estherville,0,0,IC,1995,Natural Gas
1138,Forest City Light Plant,0,1,IC,1995,Oil
1141,Gowrie,0,0,IC,1995,Oil
1142,Graettinger,0,0,IC,1995,
1143,Grand Junction,0,1,IC,1995,Oil
1144,Greenfield,0,0,IC,1995,Oil
7856,North,0,0,IC,1995,
1145,Grundy Center City Light Plant,0,0,IC,1995,Oil
1146,Harlan,0,0,IC,1995,
1149,Independence (IA),0,0,IC,1995,Natural Gas
59379,Wapsie Valley Creamery Back Up Generator,0,0,IC,1995,
1150,Indianola,0,1,GT,1995,
1150,Indianola,0,1,IC,1995,
1153,Lake Park,0,0,IC,1995,
1154,Lake Mills,0,0,IC,1995,Natural Gas
56521,Lake Mills Gas Recovery,0,0,IC,1995,
1155,Lamoni Municipal Utilities,0,1,IC,1995,Oil
1156,La Porte,0,0,IC,1995,Oil
1157,Laurens,0,1,IC,1995,
1158,Lenox,0,1,IC,1995,
1160,Manning,0,0,IC,1995,
1162,Maquoketa 1,0,1,IC,1995,Natural Gas
7921,Maquoketa 2,0,1,IC,1995,
1163,McGregor,0,1,IC,1995,Oil
1164,Milford,0,1,IC,1995,
1165,Montezuma,0,0,IC,1995,Natural Gas
1166,Mt Pleasant,0,0,IC,1995,Oil
1166,Mt Pleasant,0,0,ST,1995,Natural Gas
1167,Muscatine Plant #1,0,0,ST,1995,Coal
1167,Muscatine Plant #1,0,0,ST,1995,Coal
1168,New Hampton,0,0,IC,1995,Natural Gas
1169,Ogden,0,0,IC,1995,Oil
